opi,OPI?s newest pearly blue gel˜,This Color Hits all the High Notes,223,226,231
opi,"""steal-the-show",Drama at La Scala,1,66,86
opi,sapphire blue gel nail˜,"Duomo Days, Isola Nights",0,83,123
opi,shimmering light,Leonardo?s Model Color,116,97,153
opi,amethyst and violet˜,Galleria Vittorio Violet,149,129,178
opi,winning gel nail polish˜,"Addio Bad Nails, Ciao Great Nails",139,112,132
opi,bronzed gel nail polish,Fall-ing for Milan,165,118,100
opi,stand-alone gray gel,Suzi Talks with Her Hands,131,135,134
opi,shimmery granite gray gel˜,OPI Nails the Runway,88,83,92
opi,bouquet of ripened berries delight˜,Complimentary Wine,51,11,11
opi,sweet burn orange gel˜,Have Your Panettone and Eat it Too,205,92,12
opi,chestnut earth tones ,My Italian is a Little Rusty,178,81,39
opi,nude gel nail,Barefoot in Barcelona,191,136,129
opi,subtle and toasty taupe gel˜,Coconuts Over OPI,216,198,188
opi,˜dusky mauve gel˜,Reykjavik Has All the Hot Spots,145,79,91
opi,deep purple gel˜,Turn On the Northern Lights!,9,0,28
gabrini,3D,0,195,199,211
gabrini,3D,1,178,184,199
gabrini,3D,11,171,33,108
gabrini,3D,13,98,45,73
gabrini,3D,16,210,0,125
gabrini,3D,2,198,207,224
gabrini,3D,23,151,0,43
gabrini,3D,25,216,93,174
gabrini,3D,3,201,208,224
gabrini,3D,30,221,85,123
gabrini,3D,32,225,1,64
gabrini,3D,34,193,151,161
gabrini,3D,35,158,118,110
gabrini,3D,36,106,45,112
gabrini,3D,37,164,6,39
gabrini,3D,38,122,13,44
gabrini,3D,4,204,180,163
gabrini,3D,40,209,1,89
gabrini,3D,45,62,43,63
gabrini,3D,48,224,42,163
gabrini,3D,5,210,139,191
gabrini,3D,51,117,64,90
gabrini,3D,52,0,161,168
gabrini,3D,54,0,120,119
gabrini,3D,55,73,29,54
gabrini,3D,59,40,39,53
gabrini,3D,6,247,141,120
gabrini,3D,60,89,99,75
gabrini,3D,65,219,174,205
gabrini,3D,9,66,50,53
gabrini,Brilliant,B01,135,115,106
gabrini,Brilliant,B10,187,61,61
gabrini,Brilliant,B11,146,56,82
gabrini,Brilliant,B13,45,62,108
gabrini,Brilliant,B14,76,143,157
gabrini,Brilliant,B15,147,157,158
gabrini,Brilliant,B17,149,108,87
gabrini,Brilliant,B18,171,87,26
gabrini,Brilliant,B19,205,66,78
gabrini,Brilliant,B02,107,23,65
gabrini,Brilliant,B20,109,55,130
gabrini,Brilliant,B03,115,34,64
gabrini,Brilliant,B04,135,8,17
gabrini,Brilliant,B05,138,67,127
gabrini,Brilliant,B06,48,44,36
gabrini,Brilliant,B07,156,160,161
gabrini,Brilliant,B08,176,119,47
gabrini,Brilliant,B09,156,148,29
gabrini,Matte,1,197,200,215
gabrini,Matte,20,121,43,64
gabrini,Matte,21,217,152,194
gabrini,Matte,22,202,113,172
gabrini,Matte,23,220,32,117
gabrini,Matte,25,210,30,85
gabrini,Matte,28,156,97,168
gabrini,Matte,4,121,42,63
gabrini,Matte,8,51,53,68
gabrini,Matte,9,71,46,60
gabrini,NUDE,1,224,194,183
gabrini,NUDE,2,209,119,110
gabrini,NUDE,10,225,180,175
gabrini,NUDE,3,212,178,171
gabrini,NUDE,4,223,182,155
gabrini,NUDE,5,156,123,97
gabrini,NUDE,6,210,166,146
gabrini,NUDE,7,166,109,82
gabrini,NUDE,8,189,137,105
essie,nan,sheer luck,245,224,231
essie,nan,tuck it in my tux,246,241,238
essie,nan,marshmallow,240,229,225
essie,nan,waltz,233,229,217
essie,nan,baby's breath,245,231,222
essie,nan,allure,245,230,214
essie,nan,adore-a.ball,249,233,234
essie,nan,limo-scene,240,336,227
essie,nan,pass-port to sail,207,192,173
essie,nan,east hampton cottage,248,228,221
essie,nan,ballet slippers,215,190,185
essie,nan,angel food,241,221,214
essie,nan,mademoiselle,243,213,215
essie,nan,skinny dip,244,206,195
essie,nan,vanity fairest,225,228,225
essie,nan,hi maintenace,237,211,222
essie,nan,suggar daddy,251,208,225
essie,nan,spaghetti strap,241,190,199
essie,nan,pink glove service,246,189,195
essie,nan,back in the limo,248,184,172
essie,nan,let it bow,244,242,239
essie,nan,twinkle in time,236,237,242
essie,nan,all daisy long,233,227,213
essie,nan,blanc,232,232,232
essie,nan,going steady,235,228,212
essie,nan,galentine,249,193,198
essie,nan,pearly white,241,236,230
essie,nan,urban jungle,223,215,203
essie,nan,mixtaupe,230,211,205
essie,nan,imported bubbly,232,194,182
essie,nan,between the seats,219,201,197
essie,nan,go go geisha,233,197,201
essie,nan,talk to the sand,254,226,222
essie,nan,stirring secret,255,222,215
essie,nan,mind-full meditation,219,204,197
essie,nan,your's a catch,255,182,165
essie,nan,in full swing,154,180,171
essie,nan,feeling wellies,255,207,170
essie,nan,rainwear don't care,239,213,198
essie,nan,come out to  clay,252,185,176
essie,nan,like a rebel,212,154,143
essie,nan,home grown,219,127,105
essie,nan,call your bluff,160,104,91
essie,nan,of quartz ,152,106,88
essie,nan,into the a-bliss,228,140,152
essie,nan,lady like remixed,223,165,161
essie,nan,kaf-tan,218,124,52
essie,nan,on the bright cider,209,120,80
essie,nan,cliff hanger,198,119,89
essie,nan,rocky rose,217,77,62
essie,nan,bed rock & roll,158,49,42
essie,nan,lighten the mood,236,215,214
essie,nan,don't be salty,218,186,175
essie,nan,sand tropez,216,192,180
essie,nan,topless & barefoot,212,192,185
essie,nan,hogh class affairs,250,203,185
essie,nan,spin the bottle,243,204,197
essie,nan,perrennial chic,228,175,159
essie,nan,wide nude,192,150,145
essie,nan,lady like ,206,169,177
essie,nan,demure vix,196,156,158
essie,nan,not just a pretty face,215,188,179
essie,nan,brave  with me,219,172,156
essie,nan,sunny daze,141,44,18
essie,nan,less is aura,191,135,120
essie,nan,mamba,215,138,120
essie,nan,suit & tried,197,118,103
essie,nan,clothing optional,171,124,118
essie,nan,buy me a cameo,206,157,152
essie,nan,tea & crumpets,231,172,156
essie,nan,oh behave!,232,149,135
essie,nan,eternal optimist,241,174,165
essie,nan,fun in the gondola,219,106,124
essie,nan,let it glow,252,141,134
essie,nan,island hopping,141,81,100
essie,nan,high tides & divies,212,182,148
essie,nan,machacino,141,122,116
essie,nan,truth or bare,108,74,64
essie,nan,milk muffs,110,84,77
essie,nan,teacup half full,169,96,83
essie,nan,in stitches,164,57,83
essie,nan,mrs always right,172,63,85
essie,nan,angora cardi,112,46,60
essie,nan,chocolate cakes,35,1,0
essie,nan,seeing stars,90,53,37
essie,nan,polar-izing,229,189,198
essie,nan,ballet slippers remixed,254,218,218
essie,nan,crush & blush,238,186,190
essie,nan,bonbon nuit,246,216,242
essie,nan,ballet sneakers,255,215,226
essie,nan,kissed by mist,246,186,214
essie,nan,wet-swited up,245,182,198
essie,nan,everything's rosy,255,152,163
essie,nan,one way for one,232,125,167
essie,nan,blossom's besties,255,109,161
essie,nan,going  all in,187,110,128
essie,nan,satin slip,228,116,129
essie,nan,piece.love & chocolate,218,88,150
essie,nan,sparklessbetween us,218,73,140
essie,nan,good vibrations,227,99,176
essie,nan,no shade here,255,51,100
essie,nan,head over wheels,184,20,96
essie,nan,peak show,248,228,237
essie,nan,minimalistic,239,202,208
essie,nan,ramper room,249,218,221
essie,nan,muchi.muchi,253,227,228
essie,nan,wire-less is more,207,177,178
essie,nan,fiji,252,202,201
essie,nan,young.wild & me,235,277,275
essie,nan,pink diamond,244,190,198
essie,nan,need a vacation,230,161,180
essie,nan,resort fling,255,97,72
essie,nan,delhi dance,245,137,164
essie,nan,pin me pink,210,131,140
essie,nan,perfact mate,232,146,148
essie,nan,out of the jukebox,245,146,132
essie,nan,loive doive,248,140,190
essie,nan,mod squre,208,66,135
essie,nan,"your,me & the sea",210,95,144
essie,nan,pansy,252,98,134
essie,nan,babes in the booth,230,89,123
essie,nan,the fuchsia in bright,220,53,125
essie,nan,secret story,243,68,145
essie,nan,watermelon,222,4,81
essie,nan,bachelorette bash,221,39,100
essie,nan,double breasted jacket,235,56,77
essie,nan,haute in the heat,195,24,77
essie,nan,stop. Drop & shop,136,55,70
essie,nan,a touch of sugar,252,187,191
essie,nan,set in the sand stone,255,161,131
essie,nan,yes.i canyon,224,67,50
essie,nan,rust worthy,99,42,25
essie,nan,coral coast,246,195,176
essie,nan,Sunday funday,245,61,69
essie,nan,stones n'roses,255,167,176
essie,nan,peach side babe,254,139,136
essie,nan,tart deco,255,131,131
essie,nan,claim to fame,227,110,92
essie,nan,cute as a button,255,105,125
essie,nan,guilty pleasure,249,111,124
essie,nan,strikes a rose,255,83,139
essie,nan,come here!,255,85,85
